antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'AY4R010000'}),"frozenset({'AR5X010000', 'AYGL400000'})",0.050161492320875356,0.052204864544196164,0.02181794212642542,0.4349540078843627,8.331675825269782,0.019199268214479384,1.6773769722834113,0.9264481488392375
frozenset({'AYGL400000'}),"frozenset({'AR5X010000', 'AY4R010000'})",0.15859205062289894,0.023004416320611693,0.02181794212642542,0.1375727348295927,5.980274957305877,0.018169624568756725,1.132844035822944,0.9897501073909848
"frozenset({'AR5X010000', 'AY4Y010000'})",frozenset({'AYGL400000'}),0.0276184826313361,0.15859205062289894,0.014303605563245666,0.5178997613365155,3.2656098417440886,0.009923533767649156,1.7452966870742839,0.7134838234853106
"frozenset({'AR5X010000', 'AYGL400000'})",frozenset({'AY4Y010000'}),0.052204864544196164,0.04864544196163734,0.014303605563245666,0.273989898989899,5.632385850373655,0.011764076854945833,1.31038749559371,0.8677564535839036
"frozenset({'AY4Y010000', 'AYGL400000'})",frozenset({'AR5X010000'}),0.01871992617493903,0.26339727110935335,0.014303605563245666,0.7640845070422535,2.9008823964809882,0.00937282809339817,3.122316044849905,0.6677780601576423
frozenset({'AR5X010000'}),"frozenset({'AY4Y010000', 'AYGL400000'})",0.26339727110935335,0.01871992617493903,0.014303605563245666,0.05430430430430431,2.9008823964809882,0.00937282809339817,1.0376277255900883,0.8895939133393128
frozenset({'AY4Y010000'}),"frozenset({'AR5X010000', 'AYGL400000'})",0.04864544196163734,0.052204864544196164,0.014303605563245666,0.2940379403794038,5.632385850373655,0.011764076854945833,1.3425581765189698,0.8645098071144565
frozenset({'AYGL400000'}),"frozenset({'AR5X010000', 'AY4Y010000'})",0.15859205062289894,0.0276184826313361,0.014303605563245666,0.09019118869492936,3.265609841744089,0.009923533767649156,1.0687756650475126,0.8245447210384098
"frozenset({'AY4Y010000', 'VMJW400000'})",frozenset({'AR5X010000'}),0.021422450728363324,0.26339727110935335,0.013248961835080087,0.6184615384615385,2.3480180180180183,0.0076063467727546085,1.930611991044034,0.5866769480095148
"frozenset({'AR5X010000', 'VMJW400000'})",frozenset({'AY4Y010000'}),0.018258519543866588,0.04864544196163734,0.013248961835080087,0.7256317689530686,14.916747380470193,0.012360768082303504,3.46743700758719,0.9503125569948031
"frozenset({'AR5X010000', 'AY4Y010000'})",frozenset({'VMJW400000'}),0.0276184826313361,0.07659350075802518,0.013248961835080087,0.4797136038186158,6.263111087377125,0.01113356556472134,1.774804234781594,0.8642029143868512
frozenset({'VMJW400000'}),"frozenset({'AR5X010000', 'AY4Y010000'})",0.07659350075802518,0.0276184826313361,0.013248961835080087,0.1729776247848537,6.263111087377125,0.01113356556472134,1.175762042853681,0.9100379322603203
frozenset({'AY4Y010000'}),"frozenset({'AR5X010000', 'VMJW400000'})",0.04864544196163734,0.018258519543866588,0.013248961835080087,0.27235772357723576,14.916747380470193,0.012360768082303504,1.349208961967647,0.980666197178729
frozenset({'AR5X010000'}),"frozenset({'AY4Y010000', 'VMJW400000'})",0.26339727110935335,0.021422450728363324,0.013248961835080087,0.050300300300300305,2.3480180180180183,0.0076063467727546085,1.0304073483239684,0.7794009816688371
"frozenset({'AY4Y010000', 'AVHSG0301'})",frozenset({'VMJW400000'}),0.012919385670028344,0.07659350075802518,0.012919385670028344,1.0,13.055938037865749,0.011929844693917809,inf,0.9354924874791319
"frozenset({'VMJW400000', 'AY4Y010000'})",frozenset({'AVHSG0301'}),0.021422450728363324,0.16762243754531672,0.012919385670028344,0.6030769230769231,3.597829335430594,0.009328502260745638,2.097075254246295,0.7378614317881268
"frozenset({'VMJW400000', 'AVHSG0301'})",frozenset({'AY4Y010000'}),0.02920044822358447,0.04864544196163734,0.012919385670028344,0.44243792325056436,9.095156820642698,0.01149891696071417,1.706275583850181,0.916823016550455
frozenset({'AY4Y010000'}),"frozenset({'VMJW400000', 'AVHSG0301'})",0.04864544196163734,0.02920044822358447,0.012919385670028344,0.26558265582655827,9.095156820642698,0.01149891696071417,1.3218635963302485,0.9355622107500244
frozenset({'AVHSG0301'}),"frozenset({'VMJW400000', 'AY4Y010000'})",0.16762243754531672,0.021422450728363324,0.012919385670028344,0.07707432166732206,3.597829335430594,0.009328502260745638,1.0602994068162641,0.8674604700923766
frozenset({'VMJW400000'}),"frozenset({'AY4Y010000', 'AVHSG0301'})",0.07659350075802518,0.012919385670028344,0.012919385670028344,0.16867469879518074,13.055938037865749,0.011929844693917809,1.187357840425908,1.0
"frozenset({'AR5X010000', 'AY4Y010000', 'AVHSG0301'})",frozenset({'VMJW400000'}),0.012919385670028344,0.07659350075802518,0.012919385670028344,1.0,13.055938037865749,0.011929844693917809,inf,0.9354924874791319
